Title,Job Link,Job ID,Job Category ID,Company Name,Promotion Text,Location,Experience Required,Deadline,Vacancy,Age,Salary,Published,Additional Requirements,Education,Remuneration Package,Employment Status,Gender
"Executive Officer / Senior Executive Officer (Trade), DLIC Securities Limited",https://jobs.bdjobs.com/jobdetails/?id=1391593&fcatId=2&ln=1,1391593,2,Delta Life Insurance Company Limited,,Dhaka,1 to 3 year(s),10 Aug2025,--,At most 40 years,Negotiable,31 Jul 2025,"Age At most 40 years; Experience requirements may be relaxed for candidates with a large portfolio size.; Good knowledge of market dynamics and economic trends.; Proficiency in MS Office, especially Word, Excel, PowerPoint & DSE-FlexTP.; Strong interpersonal skills.",Bachelor degree in any discipline; Masters degree in any discipline; Having an Authorized Representative registration certificate with any brokerage house.,,Full Time,N/A
Accounts and Audit Officer,https://jobs.bdjobs.com/jobdetails/?id=1391557&fcatId=2&ln=1,1391557,2,Cox`s Bazar International University,,Cox`s Bazar,At least 5 year(s),20 Aug2025,--,N/A,Negotiable,31 Jul 2025,"Minimum 5 years of relevant experience in accounting, auditing, or financial management.; Experience in educational institutions or NGOs will be an added advantage.; Sound knowledge of accounting software.; Excellent communication and reporting skills.; Ability to work under pressure and meet deadlines.","Master of Commerce (MCom) in Accounting; Master of Commerce (MCom) in Finance; Master’s degree in Accounting/Finance or MBA with a major in Accounting.; Professional qualification like CA (CC), CMA, or ACCA (part qualified) will be preferred.",,Full Time,N/A
Head of Regulatory Monitoring,https://jobs.bdjobs.com/jobdetails/?id=1391577&fcatId=2&ln=1,1391577,2,BRAC Bank PLC,,Dhaka,12 to 15 year(s),12 Aug2025,--,N/A,N/A,31 Jul 2025,"Masters/ Bachelor’s degree from a reputed university with a satisfactory academic track record.; Minimum 12 to 15 years of experience with a minimum of 6 years in regulatory monitoring in the banking or financial services industry.; Experience in conducting/ managing Audit, Monitoring, Regulatory Inspection, Specialization on Core-risk areas, anti-financial crime intelligence, financial analysis, identification of risk areas, identifying trends of systemic control lapses etc.; Extensive experience in working in ICC Division including compliance, audit, monitoring in Bangladesh and/or other countries.; Strong understanding of off-site supervision, investigation, and analysis of processes.; A clear understanding of relevant laws, regulations and industry best practices.; Self-propelled, proficient in customer-centricity, team player, and capability to meet deadlines.",Bachelor/Honors,N/A,Full Time,N/A
Head of Audit,https://jobs.bdjobs.com/jobdetails/?id=1391569&fcatId=2&ln=1,1391569,2,BRAC Bank PLC,,Dhaka,At least 15 year(s),12 Aug2025,--,N/A,N/A,31 Jul 2025,"Masters/ Bachelor’s degree from a reputed university with a satisfactory academic track record.; Minimum 15 years of experience with a minimum of 6 years in Internal audit function, preferably in the banking or financial services industry.; Professional certification e.g. CIA, ACA, ACCA, ACMA and/or CIMA is preferred.; Experience in Management Accounting, knowledge of group financial reporting, Regulatory Audit & Inspection, Specialization on Core-risk areas, financial analysis & audit risk scoring, identifying trends/ typology of systemic control loopholes etc.; Extensive experience in conducting internal audit in Bangladesh or other countries.; Strong understanding of audit methodology and audit execution processes.; Positive attitude with leadership, teamwork and decision-making capabilities.; Self-propelled, proficient in customer-centricity, team player, and capability to meet deadlines.",Bachelor of Commerce (BCom),N/A,Full Time,N/A
Portfolio Manager (CFA Required),https://jobs.bdjobs.com/jobdetails/?id=1391535&fcatId=2&ln=1,1391535,2,Financial Services Company,N/A,Gulshan,5 to 10 year(s),15 Aug2025,1,At least 35 years,Negotiable,31 Jul 2025,"Age At least 35 years; Age- Minimum 35 years; Minimum 5-7 years’ related experience in Research,Portfolio Management, Investment Advisory, or Asset Management.; Strong analytical skills and ability to manage portfolio risk.; Passion for equity markets, global economics, and capital allocation.; Excellent communication and interpersonal skills, especially in explaining complex investment strategies.; Proficiency in Microsoft Excel and financial modeling tools.","Bachelor of Business Studies (BBS) in Finance; Bachelor of Social Science (BSS) in Economics; Master of Business Studies (MBS) in Finance; Master of Social Science (MSS) in Economics; CFA certification is required.; Bachelor's or Master’s degree in Finance, Economics, or Business.",Competitive salary and incentive pay based on portfolio performance and value added above benchmark (with high watermark and hurdle rate structure).,Full Time,N/A
Bancassurance Officer (BO),https://jobs.bdjobs.com/jobdetails/?id=1391436&fcatId=2&ln=1,1391436,2,Guardian Life Insurance Limited,N/A,Anywhere in Bangladesh,0 to 1 year(s),30 Aug2025,--,26 to 30 years,Negotiable,31 Jul 2025,"Age 26 to 30 years; Experience in sales of financial products and services will be given preference.; Candidates from the financial industry`s direct sales team shall get priority.; Must be honest, accountable, and a team player with excellent work ethics and moral values.; Knowledge of Microsoft Office and Outlook.; Require Business communication skills.; Should have relationship management skills.; Willing to travel for work.",N/A,Weekly 2 holidays; Festival Bonus: 2,Contractual,N/A
শাখা ব্যবস্থাপক,https://jobs.bdjobs.com/jobdetails/?id=1391320&fcatId=2&ln=1,1391320,2,Naria Unnayan Samity (NUSA).,,Naria,At least 3 year(s),15 Aug2025,10,At most 35 years,Tk. 50000 (Monthly),31 Jul 2025,"Age At most 35 years; বিদ্র: বৈধ ড্রাইভিং লাইসেন্সসহ মোটরসাইকেল চালানো বাধ্যতামূলক।; মাইক্রো-সফট অফিস প্যাকেজে (এম এস ওয়ার্ড, এম এস এক্সেল, পাওয়ার পয়েন্ট) সম্পর্কে কম্পিউটারে ভাল দক্ষতা থাকা বাধ্যতামুলক।; বাংলা ও ইংরেজী উভয় ভাষাতে বলা ও লেখায় খুব ভালো দক্ষতা থাকতে হবে।",Bachelor/Honors,"T/A,Gratuity,Mobile bill,Provident fund,Weekly 2 holidays,Medical allowance",Full Time,N/A
Probationary Officer,https://jobs.bdjobs.com/jobdetails/?id=1390843&fcatId=2&ln=1,1390843,2,Southeast Bank PLC,"Southeast bank is inviting bright, motivated and tech-savvy individuals to join asProbationary Officer.",Anywhere in Bangladesh,Na,20 Aug2025,--,At most 32 years,Tk. 55000 (Monthly),31 Jul 2025,Age At most 32 years,Masters degree in any discipline; Postgraduate degree in any discipline from any UGC approved university; Minimum CGPA of 3.50 in scale of 4.00 in graduation and post- graduation; Minimum GPA 4.00 in scale of 5.00 in SSC and HSC or equivalent.,"Provident fund,Insurance,Gratuity; Festival Bonus: 2",Full Time,N/A
"Trainee Relationship Officer (Branch Sales), Retail & SME Banking",https://jobs.bdjobs.com/jobdetails/?id=1390917&fcatId=2&ln=1,1390917,2,Eastern Bank PLC,,Anywhere in Bangladesh,Na,7 Aug2025,--,N/A,Tk. 31000 (Monthly),31 Jul 2025,"Candidates with similar job experience will get preference, fresh graduates are highly encouraged to apply.; Passionate to build a number driven banking career.; Competent in sales knowledge, customer service techniques and strategies.; Excellent in communication, good in negotiation and able to work independently.; Outgoing and persuasive in nature.; Proficient in using online platforms and Microsoft Office applications.",Bachelor/Honors,"Festival bonus, hospitalization & maternity reimbursement, leave benefits, and other facilities as per HR policy.; Career progression through structured performance evaluation.; Absorption opportunity as a permanent employee (Junior Officer) after successful completion of the trainee period.; A dynamic, tech-driven, and customer-focused work environment",Full Time,N/A
"Officer, Credit Recovery",https://jobs.bdjobs.com/jobdetails/?id=1390647&fcatId=2&ln=1,1390647,2,PalmPay Limited,N/A,Dhaka,1 to 2 year(s),10 Aug2025,--,18 to 35 years,Tk. 15000 - 20000 (Monthly),31 Jul 2025,Age 18 to 35 years,Bachelor/Honors,Mobile bill; Salary Review: Yearly; Festival Bonus: 2,Contractual,N/A
Manager / Senior Manager - Credit Administration Division,https://jobs.bdjobs.com/jobdetails/?id=1391191&fcatId=2&ln=1,1391191,2,Prime Bank PLC.,,Dhaka,At least 5 year(s),13 Aug2025,--,N/A,N/A,30 Jul 2025,"Minimum 5 years of working experience in loans and advance.; Sound knowledge in credit, banking laws, regulatory policies and circulars.; Ability to drive automation ensuring customer-centricity, He/she will be self-propelled and capable in meeting deadlines.; Candidates with experience working in CBS is preferred.","Bachelor/Honors; Minimum bachelor`s degree in any discipline from a UGC approved local or reputed foreign University, MBM/MBA/Equivalent post-graduate degree is preferred.",Compensation & Benefits:As per the Bank`s policy,Full Time,N/A
Head of Islamic Banking,https://jobs.bdjobs.com/jobdetails/?id=1391173&fcatId=2&ln=1,1391173,2,Prime Bank PLC.,,Dhaka,At least 15 year(s),13 Aug2025,--,N/A,N/A,30 Jul 2025,"Minimum of 15 years of experience in the financial industry, with at least 3 years in a similar role.; Demonstrated expertise in Islamic investment risk and compliance management, ensuring adherence to Sharia principles.; Proven ability to coordinate effectively with Sharia Supervisory Committees and possess strong communication, presentation, and negotiation skills.",Bachelor/Honors; Minimum Bachelor`s degree in any discipline from any UGC approved local or reputed foreign university.; A professional degree or certification in Sharia Law or Islamic Banking will be an added advantage.,As per the Bank`s policy,Full Time,N/A
Branch Relationship Manager,https://jobs.bdjobs.com/jobdetails/?id=1391187&fcatId=2&ln=1,1391187,2,Prime Bank PLC.,,Anywhere in Bangladesh,At least 2 year(s),13 Aug2025,--,N/A,N/A,30 Jul 2025,Minimum Two (02) years of experience in branches of reputed Banks/NBFIs.; In-depth Product knowledge.; Knowledge on standard service quality.,Bachelor/Honors; Minimum bachelor`s degree in any discipline from a UGC approved local or reputed foreign University.,Compensation & Benefits:As per the Bank`s policy,Full Time,N/A
Law Officer - Legal Division,https://jobs.bdjobs.com/jobdetails/?id=1391196&fcatId=2&ln=1,1391196,2,Prime Bank PLC.,,Dhaka,At least 5 year(s),13 Aug2025,--,N/A,N/A,30 Jul 2025,Minimum 05 (Five) years of professional experience in Legal Division of any Bank/ Law Chamber/ Individual Court Practice on related job field as required.; Sound knowledge on legal domain of the financial industry of Bangladesh.,Bachelor of Law (LLB); Master of Law (LLM); LL.B. (Hons.) and LL.M. degree from a UGC approved local or reputed foreign University. Bar Council membership is preferred.,Compensation & Benefits:As per the Bank`s policy,Full Time,N/A
"Manager, Collection & Recovery (Senior Executive Officer to First Assistant Vice President)",https://jobs.bdjobs.com/jobdetails/?id=1390985&fcatId=2&ln=1,1390985,2,Bengal Commercial Bank PLC,Bengal Commercial Bank PLC.promotes Equal Employment Opportunity. Only short-listed candidates will be communicated and any sort of persuasion will result in disqualification.,Dhaka,At least 8 year(s),29 Aug2025,--,At most 45 years,Negotiable,30 Jul 2025,"Age At most 45 years; Minimum 8 years of relevant experience, including at least 3 years in recovery or collection within a bank or financial institution.; Familiarity with recovery-related regulations (e.g., Artha Rin Adalat Ain, Negotiable Instruments Act) is desirable.; Strong interpersonal, communication, and negotiation skills, with the ability to operate independently in field environments.; Proficiency in MS Office applications and report writing.",MBA/Master’s degree from a recognized university; candidates with LL.B. / LL.M. will be given preference.; No Third class/division allowed in any academic examination.,,Full Time,N/A
Audit Officer,https://jobs.bdjobs.com/jobdetails/?id=1391032&fcatId=2&ln=1,1391032,2,Standard Bank PLC,,Anywhere in Bangladesh,At least 6 year(s),14 Aug2025,--,At most 40 years,N/A,30 Jul 2025,Age At most 40 years; Applicants must have MS Office literacy for all job positions.; Strong analytical and problem-solving skills; Sound knowledge of banking operations and regulatory compliance; Experience:Minimum six (6) years` experience in overall banking operations including three (03) years` working experience in internal audit.; Age:Not exceeding 40 Years (may be relaxed for deserving candidates).,"Masters; Post-Graduation with no third class/division or equivalent in academic career. (CA-CC, partly qualified in ACA/ACCA/CMA will be preferred)",N/A,Full Time,N/A
Foreign Trade Officer,https://jobs.bdjobs.com/jobdetails/?id=1391030&fcatId=2&ln=1,1391030,2,Standard Bank PLC,,Anywhere in Bangladesh,At least 6 year(s),14 Aug2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Investment (Credit) Officer,https://jobs.bdjobs.com/jobdetails/?id=1391029&fcatId=2&ln=1,1391029,2,Standard Bank PLC,,Anywhere in Bangladesh,At least 6 year(s),14 Aug2025,--,At most 40 years,N/A,30 Jul 2025,Age At most 40 years; Applicants must have MS Office literacy for all job positions.; Strong analytical and problem-solving skills; Sound knowledge of banking operations and regulatory compliance; Experience:Minimum six (6) years` experience in overall Banking Operations including three (03) years` experience in investment or Credit.; Age:Not exceeding 40 Years (may be relaxed for deserving candidates).,Masters; Post-Graduation with no third class/division or equivalent in academic career.,N/A,Full Time,N/A
Executive Officer (Authorized Representative),https://jobs.bdjobs.com/jobdetails/?id=1390860&fcatId=2&ln=1,1390860,2,Gibson Securities Limited,,Motijheel,At least 1 year(s),16 Aug2025,5,24 to 60 years,Negotiable,30 Jul 2025,Age 24 to 60 years,HSC; Bachelor/Honors,N/A,Full Time,N/A
Officer-Branch Office,https://jobs.bdjobs.com/jobdetails/?id=1388730&fcatId=2&ln=1,1388730,2,Sonali Life Insurance Company Limited,,Anywhere in Bangladesh,Na,15 Aug2025,30,At most 32 years,Tk. 18000 - 22000 (Monthly),29 Jul 2025,"Age At most 32 years; Minimum 2-year agreement with the company; Basic computer literacy is a must.; Proficiency in Microsoft Office (especially Word and Excel); Strong communication and interpersonal skills; Must be honest, smart, and professional in conduct and appearance; Willing to work or relocate anywhere in Bangladesh",Bachelor/Honors; Bachelor degree in any discipline; Masters degree in any discipline; Minimum Bachelor’s or Master’s degree (at least 2nd class) in any discipline; Freshers are highly encouraged to apply,"Provident fund,Weekly 2 holidays,Insurance,Gratuity; Salary Review: Yearly; Festival Bonus: 2",Full Time,Only Male
Relationship Manager -  Mudaraba Deposits,https://jobs.bdjobs.com/jobdetails/?id=1390852&fcatId=2&ln=1,1390852,2,DBH Finance PLC,,"Chattogram, Dhaka",At least 7 year(s),10 Aug2025,--,N/A,N/A,29 Jul 2025,"Candidates must have minimum 7 years working experience in selling financial products particularly Deposits preferably with reputed Islamic Banks or Islamic Financing Wing of Banks/Financial Institutions.; Candidates must have excellent communication & interpersonal skills and should be proactive, dynamic and result oriented.",Bachelor/Honors; Candidates should be at least Bachelors in any discipline from any recognized university.,The selected candidates will be offered an attractive salary including sales commission and festival & incentive bonuses with rapid career growth.; Candidates having less than 7 years working experience may be considered for different positions (in between Assistant Relationship Officer - Assistant Relationship Manager depending on their individual profiles/background and working experience) to be based at Dhaka and Chattogram including other divisional/district towns.,Full Time,N/A
Accounts Executive,https://jobs.bdjobs.com/jobdetails/?id=1390772&fcatId=2&ln=1,1390772,2,B&T Group,,Banani,Na,8 Aug2025,--,N/A,Negotiable,29 Jul 2025,Fresher can apply for the post.; 3 months internship then full salary; You should not apply if you are interested government job or moving abroad,Bachelor of Business Administration (BBA) in Accounting; Master of Business Administration (MBA) in Accounting,"Mobile bill,T/A; Salary Review: Yearly; Festival Bonus: 2; Lunch Facilities: Full Subsidize (Need to sign 1 year contract).",Full Time,N/A
Officer- Compliance & Legal Affairs,https://jobs.bdjobs.com/jobdetails/?id=1390649&fcatId=2&ln=1,1390649,2,Padma Bank Securities Limited,,Dhaka,Na,27 Aug2025,--,N/A,Negotiable,29 Jul 2025,"Strong command over Bangla and English (both written and verbal).; Ability to draft meeting minutes, board resolutions, and legal documents with precision.; Excellent organizational and multitasking abilities with a strong sense of confidentiality and integrity.; Familiarity with Bangladesh capital market laws, regulatory reporting, and corporate governance will be considered an asset.","Bachelor of Law (LLB); Master of Law (LLM); Bachelor’s degree in Law (LL.B) from a recognized university is required; Master’s in Law (LL.M) is preferred.; Fresh graduates are encouraged to apply; up to 2 years of experience in legal, compliance, or capital market-related roles will be advantageous.; Candidates with partial CS (Chartered Secretary) or legal certification will get preference.","Salary negotiable/ As per Company`s Structure. Other benefits include Festival Bonus, Provident Fund, Gratuity Fund and Mobile Allowance. A competitive and attractive remuneration package will be offered to well-qualified and experienced candidates, commensurate with their professional background and performance targets.",Full Time,N/A
Financial Associate,https://jobs.bdjobs.com/jobdetails/?id=1390616&fcatId=2&ln=1,1390616,2,A Reputed Financial Company.,N/A,Sylhet,Na,28 Aug2025,--,N/A,Negotiable,29 Jul 2025,N/A,HSC,N/A,Full Time,N/A
Head of Human Resources,https://jobs.bdjobs.com/jobdetails/?id=1390641&fcatId=2&ln=1,1390641,2,Standard Bank PLC,,Dhaka,At least 15 year(s),10 Aug2025,--,At most 50 years,N/A,29 Jul 2025,"Age At most 50 years; Experience:Minimum 15 years of progressive HR experience. And minimum 5 years in a senior leadership role within a reputed bank or financial institution.; Age:Not over 50 years as on August 10, 2025 (May be relaxed for deserving candidates).","Masters; Education: Master`s degree in any discipline (preferably in Business Discipline) from a UGC-approved or recognized foreign university (No third division/class or equivalent at any academic level).; Preference: Degree in Human Resources Management, PGDHRM or any globally recognized HR certification will be an added advantage.",Compensation Benefits & Perks are competitive and negotiable.,Full Time,N/A
Young Professionals Programme,https://jobs.bdjobs.com/jobdetails/?id=1390564&fcatId=2&ln=1,1390564,2,BRAC,,Anywhere in Bangladesh,Na,17 Aug2025,--,N/A,N/A,29 Jul 2025,"Someone respectful and compassionate; A go-getter who’s fired up to make a difference; A fast learner who’s agile and ready to adapt; A team player who knows collaboration is key; A results-driven problem-solver who gets things done; Demonstrated leadership in organising events, projects, or initiatives, whether through extracurricular activities, volunteering, or social causes that showcase your energy, agility, and passion, will give you an edge.; We especially encourage those who have shown resilience, faced personal struggles, bounced back, and kept pushing forward, to apply.","Bachelor/Honors; We welcome fresh graduates and young professionals with a minimum bachelor’s degree from a recognised university. While experience isn’t essential, we value curiosity, empathy, and a strong willingness to learn and take ownership of challenges.","Do meaningful work that matters; Competitive benefits, including bonuses and insurance; Diverse, real-world learning opportunities; Coaching and mentoring from experienced development practitioners; A work culture that values your strengths and helps you thrive",Full Time,N/A
Recovery Officer,https://jobs.bdjobs.com/jobdetails/?id=1390254&fcatId=2&ln=1,1390254,2,Islamic Finance and Investment PLC.,N/A,Dhaka,At least 5 year(s),7 Aug2025,--,At most 50 years,N/A,28 Jul 2025,"Age At most 50 years; Minimum 5 years’ experience in related field of any Bank/Financial Institution.; Age: Not more than 50 years.; Sound knowledge in Vetting, Drafting, NI Act, Artha Rin Adalat Ain etc.; Strong communication and interpersonal skills with adequate computer literacy.; Proactive team player, positive mindset and ability to work under pressure.; Ability to learn in-depth product, loan and legal knowledge quickly related to work",Masters; Must be Post graduate having no third division/class in the academic background.,Compensation & Other Benefits: Attractive Salary and Benefit Package will be offered to the selected candidate on the basis of experience & competency level of the selected candidate.,Full Time,N/A
Underwriting - (SEO - Manager),https://jobs.bdjobs.com/jobdetails/?id=1388580&fcatId=2&ln=1,1388580,2,Akij Takaful Life Insurance PLC,Strong analytical & decision-making skillsUnderwriting expertiseTeam leadership & coordinationEnsures regulatory complianceEffective in cross-functional tasks,Dhaka,At least 3 year(s),22 Aug2025,--,At least 25 years,Negotiable,28 Jul 2025,Age At least 25 years; Minimum 03–06 years of experience in life insurance underwriting and reinsurance.; Good Communication skills in both Bangla & English.; Strong IT knowledge and experience in managing digital underwriting and reinsurance processes.,"Masters degree in any discipline; Bachelor degree in any discipline; Master’s or Bachelor’s degree in any discipline from a recognized university.; Professional certifications such as FLMI, ACII, or Insurance Diploma from Bangladesh Insurance Academy will be considered an added advantage.; Training in Underwriting/Reinsurance from BIA or equivalent institutions is highly preferred.",N/A,Full Time,N/A
Marketing Officer,https://jobs.bdjobs.com/jobdetails/?id=1390256&fcatId=2&ln=1,1390256,2,Islamic Finance and Investment PLC.,N/A,Dhaka,At least 5 year(s),7 Aug2025,--,At most 50 years,N/A,28 Jul 2025,Age At most 50 years; Minimum 5 years’ experience in related field of any Bank/Financial Institution.; Age: Not more than 50 years.; Sound knowledge in information technology and creative designing.; Proficiency in digital marketing tools and social media platforms.,Masters; Must be Post graduate having no third division/class in the academic background.,Attractive Salary and Benefit Package will be offered to the selected candidate on the basis of experience & competency level of the selected candidate.,Full Time,N/A
Head of SME Division.,https://jobs.bdjobs.com/jobdetails/?id=1390259&fcatId=2&ln=1,1390259,2,Islamic Finance and Investment PLC.,N/A,Dhaka,At least 5 year(s),7 Aug2025,--,At most 50 years,N/A,28 Jul 2025,"Age At most 50 years; Minimum 5 years’ of experience in bank or financial institution with sufficient experience in SME sector.; Knowledge on regulatory framework and guideline on SME business.; Must have good network of SME clients.; In-depth knowledge on SME products, client management, compliance requirements and operations.; Good analytical skills as well as sound computer literacy.; Age should not be more than 50 years at the time of application.",Masters; Must be Post graduate having no third division/class in the academic background.,Compensation & Other Benefits: Attractive Salary and Benefit Package will be offered to the selected candidate on the basis of experience & competency level of the selected candidate.,Full Time,N/A
Lead Auditor (Grade: SPO to SAVP),https://jobs.bdjobs.com/jobdetails/?id=1390401&fcatId=2&ln=1,1390401,2,IFIC Bank PLC,,Dhaka,3 to 5 year(s),7 Aug2025,--,25 to 40 years,N/A,28 Jul 2025,"Age 25 to 40 years; Minimum 3-5 years of experience in Audit department of any scheduled bank/reputed organization or experience in a reputed CA firm having knowledge in conducting audit.; Sound knowledge of International Standards on Auditing (ISA), International Accounting Standards (IAS), International Financial Reporting Standards (IFRS).; Excellent analytical, interpersonal skills. communication, and; Professional qualification such as ACA, CA (partly qualified), CISA, ACCA, CFA will be considered as an added advantage.; Designation will be offered based on qualification and experience.; Age between 25 to 40 years is preferred. Management reserves the right to relax the age depending on the qualification and experience of the candidate.",Bachelor/Honors; 4-years graduation from a reputed university with a strong academic background preferably in Finance or Accounting or related field.,N/A,Full Time,N/A
EVP/SEVP,https://jobs.bdjobs.com/jobdetails/?id=1390261&fcatId=2&ln=1,1390261,2,Islamic Finance and Investment PLC.,N/A,Dhaka,At least 15 year(s),7 Aug2025,--,At most 55 years,N/A,28 Jul 2025,Age At most 55 years; Minimum 15 years’ of experience in bank or financial institution in the area of business development functions.; Extensive business development and relationship management skills.; Excellent presentation and communication skills.; Capacity to persuade and influence people.; Age should not be more than 55 years at the time of application.,Masters; Post-Graduation preferably in Banking & Finance/Marketing/Economics/Business Administration or other related discipline from a reputed university having no third division/class in the academic background.,Attractive Salary and Benefit Package will be offered to the selected candidate on the basis of experience & competency level of the selected candidate.,Full Time,N/A
Officer to SEO (for Credit Operation),https://jobs.bdjobs.com/jobdetails/?id=1389935&fcatId=2&ln=1,1389935,2,Southeast Bank PLC,"If you are ready to be a part of a forward-looking and innovation-driven banking environment, we welcome you to explore the opportunities available at Southeast Bank PLC.",Anywhere in Bangladesh,At least 6 year(s),15 Aug2025,--,N/A,N/A,28 Jul 2025,Must demonstrate excellent interpersonal and communication skills with fluency in English and be well conversant in Computer Literacy and sound analytical proficiency.,Bachelor/Honors; Masters; The applicant must have Graduation and Post graduation degree with minimum CGPA 3.0 in a scale of 4.00 from any UGC approved university having no 3rd Division/Class in his/her academic records.,Festival Bonus: 2,Full Time,N/A
Management Trainee,https://jobs.bdjobs.com/jobdetails/?id=1390293&fcatId=2&ln=1,1390293,2,IPDC Finance PLC,,Anywhere in Bangladesh,Na,14 Aug2025,--,N/A,Tk. 75000 (Monthly),28 Jul 2025,Female candidates are strongly encouraged to apply; Leadership potential; Adaptability and flexibility; Analytical and problem-solving skills; Strong communication and interpersonal skills; Teamwork & collaboration,Bachelor/Honors; Fresh Graduates will only be considered; Minimum CGPA of 3.00 out of 4.00 from UGC approved university; Minimum CGPA 4.50 in SSC & HSC or equivalent examinations,"Gross salary BDT 75,000 during first year; BDT 90,000 after one year; Upon confirmation, candidates will be placed as an""Assistant Manager""; Other benefits as per company policy; Accelerated career growth; Broad understanding of the organization; Unbound learning opportunities; Personalized feedback and industry expert mentorship; Exposure to strategic projects",Full Time,N/A
Chief Executive Officer (CEO),https://jobs.bdjobs.com/jobdetails/?id=1389841&fcatId=2&ln=1,1389841,2,Sonali Life Insurance Company Limited,,Malibag Abul hotel,At least 12 year(s),10 Aug2025,1,40 to 64 years,Negotiable,27 Jul 2025,"Age 40 to 64 years; Proven experience as Chief Executive Officer (CEO) in a reputed insurance company will get preference.; In-depth knowledge of the insurance regulatory framework and the operational landscape in Bangladesh.; Demonstrated ability to lead complex organizations, drive profitability, and manage change effectively.; Others qualifications as mentioned in the IDRA SRO No. 375-Law/2012 (Dated: 04 November 2012) and IDRA SRO No. 338-Law/2023 (Dated: 24 December 2023).","Bachelor and Master degree with any discipline and results at least 2nd class or equivalent CGPA from any recognized university.; Minimum 12 years of progressive leadership experience in the insurance sector, with at least 2 years in a position of Additional Managing Director.; Professional qualification of ACA/FCA/ACMA/FCMA with a minimum of 10 years of relevant experience will get preference.; Fellow or Associate Actuary (UK/USA) with a minimum of 9 years of relevant professional experience will get preference.","T/A,Mobile bill,Provident fund,Weekly 2 holidays,Insurance,Gratuity; Salary Review: Yearly; Lunch Facilities: Full Subsidize",Full Time,N/A
"Manager, Industrial & Energy Efficiency Finance (IEEF) - Investment Department",https://jobs.bdjobs.com/jobdetails/?id=1389764&fcatId=2&ln=1,1389764,2,Infrastructure Development Company Limited (IDCOL),,Anywhere in Bangladesh,At least 5 year(s),10 Aug2025,1,N/A,Tk. 151200 (Monthly),27 Jul 2025,"Strong written and oral communication skills in English and Bengali.; Strong skills in word processing, spreadsheet, and presentation software.; Minimum 05 years of work experience in the relevant sector.",Bachelor of Business Administration (BBA) in Finance; Master of Business Administration (MBA) in Finance; BBA/MBA(Finance)/M.S.C with a minimum CGPA of 3.00,"BDT 151,200 + Festival Bonus + LFA + Gratuity + other benefits as per company policy",Full Time,N/A
"Senior Officer, Infrastructure Finance - Investment Department",https://jobs.bdjobs.com/jobdetails/?id=1389771&fcatId=2&ln=1,1389771,2,Infrastructure Development Company Limited (IDCOL),,Anywhere in Bangladesh,2 to 3 year(s),10 Aug2025,1,N/A,Tk. 105839 (Monthly),27 Jul 2025,"Minimum 2-3 years of work experience in the relevant sector, with evidence of growing expertise in banking and non-banking financial institutions and finance related disciplines.; Advanced skills/proficiency in spreadsheet software.; Adept in word processing and presentation software.; Strong written and oral communication skills in English and Bengali.",Bachelor of Business Administration (BBA) in Finance; Master of Business Administration (MBA) in Finance; BBA/MBA(Finance)/M.Sc. (Finance) with a minimum CGPA of 3.00.,"Remuneration Package:BDT 105,839 + Festival Bonus + LFA + Gratuity + other benefits as per company policy",Full Time,N/A
Management Trainee Officer - Management Trainee Program,https://jobs.bdjobs.com/jobdetails/?id=1389779&fcatId=2&ln=1,1389779,2,Infrastructure Development Company Limited (IDCOL),,Anywhere in Bangladesh,Na,10 Aug2025,10,At most 32 years,Tk. 83161 (Monthly),27 Jul 2025,Age At most 32 years; Strong academic record and a passion for the financial services industry.; Effective communication and interpersonal skills.; Proactive attitude with a desire to learn and grow professionally.; Ability to work collaboratively in a team environment and independently when necessary.,Bachelor of Business Administration (BBA); Master of Business Administration (MBA); BBA/MBA in Finance/Accounting/Banking/Management/Economics/Statistics or B.Sc. (Engineering) from a reputed university with a minimum CGPA of 3.00.,"Remuneration Package:BDT 83,161 + Festival Bonus + LFA + Gratuity + other benefits as per company policy",Full Time,N/A
Junior Officer (Internal Audit) - Internal Control & Compliance,https://jobs.bdjobs.com/jobdetails/?id=1389782&fcatId=2&ln=1,1389782,2,Infrastructure Development Company Limited (IDCOL),,Anywhere in Bangladesh,Na,10 Aug2025,1,At most 32 years,Tk. 57330 (Monthly),27 Jul 2025,Age At most 32 years; Experience in audit.; Strong written and oral communication in Bengali & English.,Bachelor/Honors; Minimum bachelor’s degree with minimum CGPA of 3.00 out of 4.00 or equivalent.; Minimum Part qualified professional accountancy degree or auditing certification.,"Remuneration Package:BDT 57,330 + Festival Bonus + LFA + Gratuity + other benefits as per company policy",Full Time,N/A
Manager - MIS and Reconciliation Team (Bancassurance) (PO-SPO),https://jobs.bdjobs.com/jobdetails/?id=1389340&fcatId=2&ln=1,1389340,2,Trust Bank Ltd.,,Anywhere in Bangladesh,At least 5 year(s),10 Aug2025,--,At most 42 years,N/A,27 Jul 2025,"Age At most 42 years; Strong analytical and numerical skills.; Proficiency in MS Excel, MIS tools, and ERP systems.; Attention to detail and strong problem-solving abilities.; Excellent communication and stakeholder management skills.; Ability to work under pressure and meet tight deadlines.; Knowledge of regulatory and compliance requirements related to bancassurance.",Masters,N/A,Full Time,N/A
